Josanghyeog,조상혁,"",facebook.com/liebekorea
Telefly,텔레플라이,@Band_Telefly,""
SORAN,소란,@트위터 아이디,facebook.com/bandsoran
Mihwaginsoeummulce,미확인소음물체,"",facebook.com/unoisingob
Monni,몽니,@band_monni,""
TheLads,청년들,@bandthelads,facebook.com/bandthelads
OksangDalbit,옥상달빛,"",facebook.com/www.okdal
PostPanic,포스트패닉,@PosT_PANiC,facebook.com/BandPosTPANiC
Guckkasten,국카스텐,@guckkastens,""
Daybreak,데이브레이크,@Band_Daybreak,facebook.com/BandDaybreak
TheQuip,더큅,@thequip,facebook.com/bandthequip
SALTNPAPER,솔튼페이퍼,@onemyk ,facebook.com/pages/MYK/61182222930
Beinseu,베인스,@Veinsxxxx,facebook.com/VEINSpage
SugarComeAgain,슈가콤아겐,@sugarcomeagain,facebook.com/sugarcomeagain
Romantiqua,로만티카,"",facebook.com/Band.romantiqua
BlackBag,블랙백,@band_blackbag,""
Pandaz,Pandaz,@bandpandaz,facebook.com/pandaz.co.kr
Camggaewasomsatang,참깨와솜사탕,@cham_som,facebook.com/chamsom.music
Reogseu,럭스,"",""
Nukie,nukie,@bandnukie,facebook.com/bandnukie
Nahu,나후,@bandNahu,facebook.com/https://www.bandNahu
Superkidd,슈퍼키드,"",""
Moonwhales,문웨일즈,@moonwhales_,facebook.com/moonwhales
Mary敍事,마리서사,@marystorylove,facebook.com/story.mary
HologramFilm,홀로그램필름,@hologramfilm,facebook.com/hologramfilm
TheBlocs,블락스,"",facebook.com/TheBlocs
Pepeotonseu,페퍼톤스,"",""
ByeByeBadman,바이바이배드맨,@byebyebadman,""
Lowdown30,로다운30,"",""
Jambinai,잠비나이,@jambinai,""
Esternsidekick,이스턴사이드킥,@easternsidekick,facebook.com/eskick
Herz,헤르츠,@BandHerz,facebook.com/herzband
Keuraenpildeu,크랜필드,@bandcranfield,facebook.com/bandcranfield
GuteGyene,그때걔네,@Hebronbyun,facebook.com/bandmguys
Monkeys,몽키즈,"",""
Lucia,루시아,@ROXIEEEEEEEE,facebook.com/luciamusic
Geunewaggoc,그네와꽃,@swingnflower,facebook.com/https://www.swingnflower
Sliderosa,슬라이드로사,@lviosena,facebook.com/www.sliderosa
MUSHRU:MS,머쉬룸즈,@band_mushrums,""
ChangKihaandtheFaces,장기하와얼굴들,@kihafaces,facebook.com/kihafaces
Syugabol,슈가볼,"",facebook.com/#!/sugarbowlpage
IronicHUE,아이러닉휴,"",facebook.com/www.ironichue
Remains,리메인즈,"",facebook.com/wwww.bandremains
PaperBag,페이퍼백,"",""
Gaeulbanghag,가을방학,"",""
Baramjong,바람종,@baram_jong,facebook.com/Baramjongmusic
Coreyah,고래야,@coreyahband,facebook.com/coreyahband
Raimberi,라임베리,@rhymevary,facebook.com/RhymeVary
Pia,피아,@bandpia,facebook.com/koreabandpia
HRsigan,HR시간,"",facebook.com/pages/HR/293792494013194
DEADBUTTONS,데드버튼즈,@deadbuttons,facebook.com/Deadbuttons
Jiteun,짙은,@ZittenUk,""
Pavlov,파블로프,@pavlov_seoul,facebook.com/PavlovSeoul
GgumePapyeon,꿈의파편,"",facebook.com/papyeon
SpeakOut,스픽아웃,@band_speakout,facebook.com/SPEAKOUT.kr
HwangBoRyeong=SmackSoft,황보령=SmackSoft,"",""
UbsNice,웁스나이스,@oopsnice,""
Peulraespis,플랫핏,"",facebook.com/theflatfeet
Ieunsu,이은수,"",facebook.com/Bluepaper1008
Haneumpa,한음파,@hanumpa,facebook.com/hanumpa
Yeonnamdongdeomaendeomeo,연남동덤앤더머,"",""
Redeusain,레드사인,"",""
BlackTunes,블랙튠즈,"",""
Cho-i,초이,@tsoiirock,facebook.com/tsoiirock
GrooveSpot,그루브스팟,@SharkySohn,facebook.com/bandgroovespot
Baghyeri,박혜리,"",""
GonnaBe,고나비,"",facebook.com/gonnabe4
RockersFashion,락커스패션,"",facebook.com/https://www.#!/pages/%EB%9D%BD%EC%BB%A4%EC%8A%A4%ED%8C%A8%EC%85%98-Rockers-Passion/
SquashVines,스쿼시바인즈,@squashvines,facebook.com/squashvines
YELLOLOCO,옐로로코,"",facebook.com/yelloloko
EgoFunctionError,에고펑션에러,@ego_error,facebook.com/EgoFunctionError?ref=hl
Soup/wood,soup/숲,@soup_wood,facebook.com/soup.wood
Peacock,피콕,@bandpeacock ,""
Gimgeoji,김거지,@kimgerji,facebook.com/beggarkim
Bluestream,푸르내,"",facebook.com/bluestream486
MustangSally,무스탕샐리,"",facebook.com/bandmustangsally
UrbanZakapa,어반자카파,@urbanzakapa,""
EpitonProject,에피톤프로젝트,@epitoneproject,""
9andnumbers,9와숫자들,@9andthenumbers,""
Mukimukimanmansu,무키무키만만수,@mukimukimanmans,facebook.com/mukimukimanmansu
Koeomaegeojin,코어매거진,@coremagazine_,facebook.com/bandcoremagazine
Yelroucib,옐로우칩,@Band_Yellowchip,facebook.com/bandYellowChip
LADIES,레이디스,"",facebook.com/ladiesbook
MONOBARN,모노반,"",facebook.com/monobarn
PANICSWITCH,패닉스위치[PANICSWITCH],"",facebook.com/penniswitch
Paenteomjeu,팬텀즈,@BandPhantomz,facebook.com/pages/Bandphantomz/501274266594369
PlasticHeart,플라스틱하트,@plasticheart___,facebook.com/plasticheartpunk
Jeongmina,정민아,@jung_mina,facebook.com/gayagumer
PeacockGreen,피콕그린,"",""
KimTaechun,김태춘,"",facebook.com/kimtaechun.blues
NorwegianWood,노르웨이안우드,@bandnor,facebook.com/BandNorwegianWood
Ibaijeo,이바이저,@ELECTRIC_VISOR,facebook.com/EVISOR
BlackRussian,블랙러시안,"",facebook.com/blackrussian11
Dihaiteu,디하이트,"",""
Saibogeu,사이보그,"",facebook.com/pages/Sighborggggg/160975937247925?fref=ts
FarFromHere,파프롬히어,"",facebook.com/ffhpunk
Gangto,강토,"",""
13Steps,13스텝스,"",facebook.com/https://www.pages/13-Steps/114601315280761?fref=ts
HonjaWatni,혼자왔니,@BandDYCA,facebook.com/bandDYCA
Steamboys,스팀보이즈,@Steamboys,facebook.com/steamboys
CityinDust,시티인더스트,@bandcid,facebook.com/cityindust
BamseomPirates,밤섬해적단,@bamseom,""
Ralraseuwis,랄라스윗,"",facebook.com/duolalasweet
TheKoxx,TheKoxx,@thekoxx,facebook.com/bandTHEKOXX
Mudeusalrong,무드살롱,"",facebook.com/MoodSalonfanpage
Hellivision,헬리비젼,@skunkydubsystem,""
KhocaneHead,코카인헤드,@BKhocane,facebook.com/pages/Khocane-HEAD/397905136930765
Yuurae,유우래,@yoborod,facebook.com/yoborod
21segipiteopaendeul,21세기피터팬들,"",facebook.com/21cpeterpans
Booze-Up,부즈업,"",facebook.com/withmatus
Peurom,프롬,"",facebook.com/fromm12
13thfloor,13층,"",facebook.com/band13floor
AnalogDiary,아날로그다이어리,"",facebook.com/analogdiary90/
SonJiYeon,손지연,"",""
ColdCherry,차가운체리,@ColdCherry_Bot,facebook.com/BandColdCherry
Lips-Bite,입술을깨물다,@Lips_bite,facebook.com/lipsbite
404,404,@404seoul,facebook.com/404seoul
MayandJuly,메이앤줄라이,"",facebook.com/mayandjuly
Sunstroke,썬스트록,"",facebook.com/www.sunstrok
ChinaMonkeyBrain,차이나몽키브레인,@BAND_CMB,facebook.com/chinamonkeybrain
JuckJuckGrunge,적적해서그런지,@juckjuckgrunzie,facebook.com/https://www.juckjuckgrunzie
VanilaCIty,바닐라시티,"",""
KimDaeJung,씨없는수박김대중,@no_seed_kimdj,""
Sizose,시조새,"",""
JeongMilA,정밀아,"",facebook.com/https://www.Jeongmilla
